, ,순위, ,종목명, ,시장, ,종가, ,PER, ,ROA, ,EPS, ,BPS, ,PBR, ,ROE, ,시총(우선주포함), ,관리여부, ,산업명, ,결산월
11, ,12, ,더블유게임즈, ,코스피, ,"58,100", ,8.40, ,9.67%, ,"6,921", ,"44,465", ,1.31, ,15.56%, ,"1,067,559", ,일반, ,게임소프트웨어, ,12월
12, ,13, ,미투온, ,코스닥, ,"7,390", ,27.99, ,3.71%, ,264, ,"3,241", ,2.28, ,8.15%, ,"230,995", ,일반, ,게임 소프트웨어, ,12월
13, ,14, ,대한제강, ,코스피, ,"15,750", ,4.27, ,8.48%, ,"3,691", ,"25,122", ,0.63, ,14.69%, ,"388,186", ,일반, ,제1차금속산업, ,12월
14, ,15, ,LG, ,코스피, ,"82,500", ,5.05, ,10.29%, ,"16,331", ,"135,361", ,0.61, ,12.06%, ,"13,172,831", ,일반, ,"전문,과학및기술서비스업", ,12월
15, ,16, ,효성, ,코스피, ,"103,000", ,5.61, ,7.64%, ,"18,374", ,"121,023", ,0.85, ,15.18%, ,"2,170,316", ,일반, ,화합물및화학제품제조업, ,12월
16, ,17, ,휠라홀딩스, ,코스피, ,"35,200", ,9.09, ,5.45%, ,"3,871", ,"26,839", ,1.31, ,14.42%, ,"2,138,478", ,일반, ,"경기소비재,내구소비재 및 의류,섬유 및 의복", ,12월
17, ,18, ,문배철강, ,코스피, ,"3,775", ,3.36, ,10.80%, ,"1,124", ,"6,727", ,0.56, ,16.71%, ,"77,401", ,일반, ,제1차금속산업, ,12월
18, ,19, ,시디즈, ,코스피, ,"61,700", ,7.27, ,17.34%, ,"8,491", ,"30,188", ,2.04, ,28.13%, ,"123,400", ,일반, ,"경기소비재,내구소비재 및 의류", ,12월
19, ,20, ,제이엠티, ,코스닥, ,"4,100", ,5.10, ,11.54%, ,803, ,"4,215", ,0.97, ,19.06%, ,"68,668", ,일반, ,"정보기술하드웨어및장비,전자장비및기기", ,12월
20, ,21, ,한라홀딩스, ,코스피, ,"48,400", ,3.89, ,5.94%, ,"12,453", ,"96,842", ,0.50, ,12.86%, ,"506,848", ,일반, ,"경기소비재,자동차 및 부품", ,12월
21, ,22, ,대동스틸, ,코스닥, ,"5,920", ,3.66, ,15.13%, ,"1,616", ,"7,903", ,0.75, ,20.44%, ,"59,200", ,일반, ,제1차금속산업, ,12월
22, ,23, ,한국앤컴퍼니, ,코스피, ,"16,150", ,6.26, ,6.06%, ,"2,579", ,"39,292", ,0.41, ,6.56%, ,"1,533,204", ,일반, ,고무및플라스틱제품제조업, ,12월
23, ,24, ,LX인터내셔널, ,코스피, ,"27,250", ,3.93, ,3.92%, ,"6,935", ,"43,114", ,0.63, ,16.08%, ,"1,056,210", ,일반, ,도매및상품중개업, ,12월
24, ,25, ,쿠쿠홀딩스, ,코스피, ,"19,350", ,4.82, ,13.73%, ,"4,016", ,"24,306", ,0.80, ,16.52%, ,"688,128", ,일반, ,"경기소비재,내구소비재 및 의류,내구소비재", ,12월
25, ,26, ,SBS, ,코스피, ,"45,900", ,5.30, ,11.56%, ,"8,655", ,"35,939", ,1.28, ,24.08%, ,"837,794", ,일반, ,"영화,방송및공연산업", ,12월
26, ,27, ,크리스에프앤씨, ,코스닥, ,"42,500", ,8.43, ,16.13%, ,"5,040", ,"23,424", ,1.81, ,21.52%, ,"497,908", ,일반, ,섬유 및 의복, ,12월
27, ,28, ,동양에스텍, ,코스닥, ,"3,455", ,3.77, ,12.44%, ,917, ,"3,503", ,0.99, ,26.19%, ,"68,064", ,일반, ,제1차금속산업, ,12월
28, ,29, ,DL건설, ,코스피, ,"27,150", ,4.15, ,9.51%, ,"6,543", ,"41,363", ,0.66, ,15.82%, ,"598,747", ,일반, ,종합건설업, ,12월
29, ,30, ,풍산홀딩스, ,코스피, ,"29,150", ,1.95, ,15.01%, ,"14,948", ,"83,356", ,0.35, ,17.93%, ,"303,438", ,일반, ,제1차금속산업, ,12월
30, ,31, ,심텍홀딩스, ,코스닥, ,"4,320", ,7.58, ,2.48%, ,570, ,"4,902", ,0.88, ,11.63%, ,"175,667", ,일반, ,"전자부품,영상,음향및통신장비제조업", ,12월
31, ,32, ,계룡건설, ,코스피, ,"33,450", ,2.64, ,5.09%, ,"12,686", ,"71,277", ,0.47, ,17.80%, ,"298,739", ,일반, ,종합건설업, ,12월
32, ,33, ,위니아딤채, ,코스닥, ,"3,770", ,8.09, ,2.31%, ,466, ,"1,953", ,1.93, ,23.86%, ,"135,597", ,일반, ,내구소비재, ,12월
33, ,34, ,LX세미콘, ,코스닥, ,"161,400", ,10.75, ,22.08%, ,"15,014", ,"45,431", ,3.55, ,33.05%, ,"2,625,058", ,일반, ,"디스플레이,디스플레이 및 관련부품", ,12월
34, ,35, ,디와이파워, ,코스피, ,"12,550", ,4.05, ,9.94%, ,"3,096", ,"19,883", ,0.63, ,15.57%, ,"138,573", ,일반, ,자동차 부품, ,12월
35, ,36, ,피제이메탈, ,코스닥, ,"5,310", ,9.05, ,15.58%, ,587, ,"2,122", ,2.50, ,27.66%, ,"131,706", ,일반, ,"IT 하드웨어,통신장비", ,12월
36, ,37, ,대한뉴팜, ,코스닥, ,"10,950", ,-64.13, ,-1.63%, ,-171, ,"5,328", ,2.06, ,-3.20%, ,"157,186", ,일반, ,화합물및화학제품제조업, ,12월
37, ,38, ,동국제강, ,코스피, ,"16,050", ,3.39, ,7.25%, ,"4,734", ,"26,015", ,0.62, ,18.20%, ,"1,531,695", ,일반, ,제1차금속산업, ,12월
38, ,39, ,엠투아이, ,코스닥, ,"9,110", ,9.93, ,21.40%, ,917, ,"3,783", ,2.41, ,24.25%, ,"153,032", ,일반, ,전자 장비 및 기기, ,12월
39, ,40, ,신세계건설, ,코스피, ,"33,850", ,4.31, ,3.91%, ,"7,847", ,"55,690", ,0.61, ,14.09%, ,"135,400", ,일반, ,종합건설업, ,12월
40, ,41, ,한국알콜, ,코스닥, ,"11,650", ,5.31, ,8.52%, ,"2,193", ,"19,125", ,0.61, ,11.47%, ,"251,707", ,일반, ,화합물및화학제품제조업, ,12월
41, ,42, ,애경케미칼, ,코스피, ,"11,350", ,6.72, ,11.96%, ,"1,689", ,"9,431", ,1.20, ,17.91%, ,"552,163", ,일반, ,"소재,소재,화학", ,12월
42, ,43, ,한국콜마홀딩스, ,코스피, ,"19,350", ,4.09, ,7.50%, ,"4,730", ,"33,561", ,0.58, ,14.09%, ,"359,460", ,일반, ,화합물및화학제품제조업, ,12월
43, ,44, ,에이피티씨, ,코스닥, ,"22,450", ,10.87, ,34.39%, ,"2,065", ,"4,654", ,4.82, ,44.36%, ,"532,078", ,일반, ,반도체 및 관련장비, ,12월
44, ,45, ,KG이니시스, ,코스닥, ,"19,600", ,9.39, ,3.81%, ,"2,088", ,"13,199", ,1.49, ,15.82%, ,"546,927", ,일반, ,정보처리및기타컴퓨터운영관련업, ,12월
45, ,46, ,매커스, ,코스닥, ,"7,830", ,7.67, ,8.89%, ,"1,021", ,"4,302", ,1.82, ,23.74%, ,"126,557", ,일반, ,도매및상품중개업, ,12월
46, ,47, ,정상제이엘에스, ,코스닥, ,"7,920", ,10.01, ,11.63%, ,791, ,"4,424", ,1.79, ,17.89%, ,"124,166", ,일반, ,"전자부품,영상,음향및통신장비제조업", ,12월
47, ,48, ,한국경제TV, ,코스닥, ,"7,380", ,6.14, ,14.29%, ,"1,201", ,"6,872", ,1.07, ,17.48%, ,"169,740", ,일반, ,"영화,방송및공연산업", ,12월
48, ,49, ,삼성엔지니어링, ,코스피, ,"22,600", ,12.85, ,6.06%, ,"1,759", ,"9,929", ,2.28, ,17.71%, ,"4,429,600", ,일반, ,"전문,과학및기술서비스업", ,12월
49, ,50, ,에스제이그룹, ,코스닥, ,"21,400", ,9.99, ,14.35%, ,"2,143", ,"9,954", ,2.15, ,21.53%, ,"211,129", ,일반, ,섬유 및 의복, ,12월
50, ,51, ,국도화학, ,코스피, ,"57,900", ,4.01, ,8.80%, ,"14,443", ,"84,910", ,0.68, ,17.01%, ,"521,715", ,일반, ,화합물및화학제품제조업, ,12월
51, ,52, ,상상인, ,코스닥, ,"8,140", ,4.96, ,1.93%, ,"1,643", ,"12,143", ,0.67, ,13.53%, ,"450,372", ,일반, ,"전자부품,영상,음향및통신장비제조업", ,12월
52, ,53, ,농심홀딩스, ,코스피, ,"76,400", ,6.88, ,3.81%, ,"11,104", ,"219,397", ,0.35, ,5.06%, ,"354,327", ,일반, ,"전문,과학및기술서비스업", ,12월
53, ,54, ,LG이노텍, ,코스피, ,"361,000", ,11.44, ,9.00%, ,"31,557", ,"131,226", ,2.75, ,24.05%, ,"8,543,826", ,일반, ,"IT,하드웨어,휴대폰 및 관련부품", ,12월
54, ,55, ,바텍, ,코스닥, ,"35,300", ,58.78, ,2.17%, ,601, ,"17,904", ,1.97, ,3.35%, ,"524,355", ,일반, ,"의료,정밀,광학기기및시계제조업", ,12월
55, ,56, ,KG케미칼, ,코스피, ,"30,650", ,4.60, ,1.87%, ,"6,664", ,"34,558", ,0.89, ,19.28%, ,"424,996", ,일반, ,화합물및화학제품제조업, ,12월
56, ,57, ,프로텍, ,코스닥, ,"25,950", ,6.80, ,15.22%, ,"3,816", ,"21,812", ,1.19, ,17.49%, ,"285,450", ,일반, ,기타기계및장비제조업, ,12월
57, ,58, ,선진, ,코스피, ,"11,150", ,4.03, ,5.36%, ,"2,767", ,"17,375", ,0.64, ,15.92%, ,"265,143", ,일반, ,"필수소비재,음식료 및 담배,식료품", ,12월
58, ,59, ,나이스정보통신, ,코스닥, ,"30,500", ,15.33, ,2.38%, ,"1,990", ,"26,398", ,1.16, ,7.54%, ,"305,000", ,일반, ,통신업, ,12월
59, ,60, ,슈피겐코리아, ,코스닥, ,"43,000", ,7.04, ,8.77%, ,"6,107", ,"59,809", ,0.72, ,10.21%, ,"267,304", ,일반, ,"IT,하드웨어,휴대폰 및 관련부품", ,12월
60, ,61, ,싸이맥스, ,코스닥, ,"19,500", ,8.00, ,12.29%, ,"2,436", ,"13,317", ,1.46, ,18.29%, ,"213,023", ,일반, ,반도체 및 관련 장비, ,12월
61, ,62, ,우리바이오, ,코스닥, ,"4,515", ,9.09, ,3.45%, ,497, ,"3,209", ,1.41, ,15.48%, ,"212,190", ,일반, ,기타전기기계및전기변환장치제조업, ,12월
62, ,63, ,제이씨케미칼, ,코스닥, ,"8,910", ,7.25, ,9.11%, ,"1,229", ,"5,540", ,1.61, ,22.19%, ,"198,406", ,일반, ,"에너지,에너지,에너지 시설 및 서비스", ,12월
63, ,64, ,삼현철강, ,코스닥, ,"5,820", ,4.00, ,10.77%, ,"1,456", ,"10,841", ,0.54, ,13.43%, ,"91,391", ,일반, ,제1차금속산업, ,12월
64, ,65, ,하이비젼시스템, ,코스닥, ,"23,050", ,8.67, ,15.46%, ,"2,660", ,"11,542", ,2.00, ,23.04%, ,"344,416", ,일반, ,휴대폰 및 관련부품, ,12월
65, ,66, ,소프트센, ,코스닥, ,"2,315", ,6.01, ,16.63%, ,385, ,"1,407", ,1.65, ,27.39%, ,"87,178", ,일반, ,컴퓨터및사무용기기제조업, ,12월
66, ,67, ,코웰패션, ,코스닥, ,"7,900", ,11.49, ,10.65%, ,688, ,"4,746", ,1.66, ,14.49%, ,"699,152", ,일반, ,"전자부품,영상,음향및통신장비제조업", ,12월
67, ,68, ,한일철강, ,코스피, ,"2,670", ,3.01, ,7.04%, ,887, ,"6,300", ,0.42, ,14.07%, ,"71,282", ,일반, ,제1차금속산업, ,12월
